20.141602,93.284
20.287556,93.265
20.434568,93.238
20.582645,93.204
20.731796,93.165
20.882027,93.123
21.033346,93.078
21.185763,93.033
21.339284,92.988
21.493917,92.943
21.649671,92.898
21.806553,92.855
21.964572,92.812
22.123737,92.770
22.284054,92.729
22.445534,92.688
22.608183,92.648
22.772012,92.608
22.937027,92.568
23.103238,92.528
23.270654,92.488
23.439282,92.448
23.609133,92.408
23.780215,92.367
23.952536,92.326
24.126106,92.286
24.300934,92.245
24.477028,92.204
24.654399,92.162
24.833055,92.121
25.013005,92.080
25.194260,92.038
25.376828,91.997
25.560719,91.956
25.745942,91.915
25.932508,91.875
26.120426,91.836
26.309705,91.797
26.500356,91.759
26.692388,91.723
26.885812,91.688
27.080638,91.653
27.276876,91.620
27.474535,91.587
27.673627,91.555
27.874161,91.523
28.076149,91.492
28.279600,91.461
28.484526,91.429
28.690937,91.397
28.898843,91.365
29.108256,91.332
29.319186,91.299
29.531645,91.266
29.745644,91.233
29.961193,91.200
30.178304,91.168
30.396989,91.135
30.617258,91.104
30.839123,91.073
31.062596,91.044
31.287688,91.015
31.514412,90.987
31.742778,90.960
31.972800,90.934
32.204488,90.908
32.437855,90.882
32.672913,90.857
32.909674,90.832
33.148151,90.807
33.388356,90.782
33.630302,90.757
33.874001,90.733
34.119466,90.710
34.366710,90.687
34.615745,90.665
34.866585,90.644
35.119243,90.624
35.373731,90.604
35.630064,90.584
35.888254,90.564
36.148315,90.544
36.410261,90.523
36.674104,90.503
36.939860,90.483
37.207542,90.464
37.477163,90.446
37.748738,90.429
38.022281,90.413
38.297806,90.398
38.575327,90.384
38.854860,90.370
39.136419,90.356
39.420017,90.342
39.705671,90.328
39.993395,90.315
40.283203,90.302
40.575112,90.289
40.869136,90.276
41.165290,90.264
41.463591,90.251
41.764053,90.238
42.066693,90.224
42.371525,90.211
42.678567,90.197
42.987834,90.183
43.299341,90.170
43.613106,90.157
43.929145,90.144
44.247473,90.131
44.568109,90.118
44.891068,90.105
45.216367,90.093
45.544023,90.080
45.874054,90.068
46.206476,90.057
46.541307,90.047
46.878565,90.038
47.218266,90.030
47.560429,90.023
47.905072,90.018
48.252212,90.013
48.601867,90.008
48.954056,90.004
49.308798,90.000
49.666109,89.996
50.026010,89.991
50.388520,89.987
50.753656,89.983
51.121437,89.980
51.491884,89.978
51.865016,89.976
52.240851,89.975
52.619410,89.973
53.000712,89.971
53.384777,89.970
53.771625,89.969
54.161276,89.969
54.553751,89.968
54.949070,89.968
55.347254,89.967
55.748323,89.967
56.152298,89.967
56.559201,89.967
56.969052,89.967
57.381873,89.967
57.797686,89.968
58.216512,89.970
58.638373,89.972
59.063291,89.974
59.491288,89.976
59.922386,89.977
60.356608,89.979
60.793977,89.982
61.234515,89.985
61.678246,89.988
62.125192,89.993
62.575377,89.997
63.028824,90.001
63.485557,90.005
63.945599,90.009
64.408975,90.012
64.875709,90.015
65.345825,90.017
65.819348,90.019
66.296302,90.021
66.776713,90.023
67.260604,90.024
67.748002,90.026
68.238932,90.027
68.733420,90.027
69.231490,90.027
69.733170,90.025
70.238485,90.023
70.747463,90.019
71.260128,90.013
71.776508,90.005
72.296630,89.995
72.820521,89.985
73.348209,89.972
73.879720,89.959
74.415083,89.944
74.954326,89.926
75.497475,89.907
76.044561,89.885
76.595612,89.862
77.150655,89.837
77.709720,89.811
78.272837,89.782
78.840034,89.752
79.411342,89.718
79.986789,89.681
80.566406,89.641
81.150224,89.597
81.738272,89.551
82.330581,89.501
82.927182,89.449
83.528107,89.394
84.133386,89.336
84.743051,89.276
85.357134,89.213
85.975667,89.147
86.598682,89.079
87.226212,89.007
87.858289,88.933
88.494946,88.857
89.136217,88.777
89.782135,88.696
90.432733,88.612
91.088046,88.526
91.748108,88.439
92.412952,88.351
93.082615,88.261
93.757130,88.171
94.436533,88.080
95.120859,87.989
95.810144,87.897
96.504423,87.806
97.203734,87.714
97.908112,87.623
98.617595,87.533
99.332219,87.443
100.052021,87.354
100.777039,87.267
101.507311,87.180
102.242875,87.096
102.983769,87.013
103.730032,86.933
104.481702,86.853
105.238820,86.776
106.001424,86.700
106.769554,86.627
107.543250,86.558
108.322553,86.491
109.107503,86.428
109.898141,86.368
110.694508,86.310
111.496646,86.255
112.304596,86.203
113.118402,86.153
113.938104,86.104
114.763747,86.057
115.595372,86.012
116.433024,85.969
117.276746,85.928
118.126581,85.889
118.982575,85.853
119.844772,85.818
120.713217,85.786
121.587954,85.755
122.469031,85.726
123.356492,85.698
124.250384,85.672
125.150753,85.646
126.057647,85.622
126.971113,85.599
127.891198,85.576
128.817950,85.554
129.751418,85.532
130.691651,85.511
131.638696,85.489
132.592604,85.468
133.553425,85.448
134.521208,85.428
135.496004,85.410
136.477864,85.391
137.466839,85.374
138.462981,85.356
139.466340,85.339
140.476971,85.321
141.494925,85.303
142.520256,85.284
143.553016,85.265
144.593260,85.246
145.641043,85.226
146.696418,85.204
147.759441,85.182
148.830166,85.160
149.908651,85.139
150.994951,85.119
152.089123,85.100
153.191223,85.082
154.301310,85.063
155.419441,85.044
156.545674,85.024
157.680069,85.003
158.822683,84.982
159.973578,84.960
161.132813,84.938
162.300447,84.914
163.476543,84.890
164.661162,84.866
165.854364,84.843
167.056213,84.819
168.266772,84.795
169.486102,84.771
170.714268,84.747
171.951334,84.722
173.197364,84.698
174.452424,84.673
175.716578,84.649
176.989893,84.624
178.272434,84.599
179.564270,84.573
180.865467,84.547
182.176092,84.521
183.496216,84.495
184.825905,84.469
186.165229,84.443
187.514259,84.417
188.873065,84.392
