frequency,raw
1049.39,0.99
1059.88,1.09
1070.48,1.16
1081.19,1.26
1092.00,1.40
1102.92,1.47
1113.95,1.58
1125.09,1.71
1136.34,1.78
1147.70,1.87
1159.18,1.97
1170.77,2.07
1182.48,2.20
1194.30,2.34
1206.25,2.48
1218.31,2.56
1230.49,2.65
1242.80,2.79
1255.22,2.86
1267.78,2.97
1280.45,3.10
1293.26,3.17
1306.19,3.28
1319.25,3.41
1332.45,3.48
1345.77,3.55
1359.23,3.62
1372.82,3.68
1386.55,3.75
1400.41,3.82
1414.42,3.89
1428.56,3.96
1442.85,4.03
1457.28,4.10
1471.85,4.17
1486.57,4.24
1501.43,4.30
1516.45,4.37
1531.61,4.44
1546.93,4.51
1562.40,4.58
1578.02,4.65
1593.80,4.72
1609.74,4.79
1625.84,4.86
1642.10,4.92
1658.52,4.99
1675.10,5.06
1691.85,5.13
1708.77,5.20
1725.86,5.27
1743.12,5.34
1760.55,5.41
1778.15,5.48
1795.94,5.55
1813.90,5.61
1832.03,5.68
1850.36,5.75
1868.86,5.82
1887.55,5.89
1906.42,5.96
1925.49,6.03
1944.74,6.10
1964.19,6.17
1983.83,6.23
2003.67,6.30
2023.71,6.37
2043.94,6.44
2064.38,6.50
2085.03,6.50
2105.88,6.55
2126.94,6.62
2148.20,6.69
2169.69,6.75
2191.38,6.82
2213.30,6.89
2235.43,6.90
2257.78,6.93
2280.36,7.00
2303.17,7.07
2326.20,7.10
2349.46,7.11
2372.95,7.17
2396.68,7.24
2420.65,7.30
2444.86,7.30
2469.31,7.35
2494.00,7.40
2518.94,7.40
2544.13,7.46
2569.57,7.50
2595.27,7.50
2621.22,7.50
2647.43,7.53
2673.90,7.60
2700.64,7.60
2727.65,7.60
2754.93,7.61
2782.48,7.68
2810.30,7.70
2838.40,7.70
2866.79,7.70
2895.46,7.70
2924.41,7.70
2953.65,7.70
2983.19,7.70
3013.02,7.70
3043.15,7.70
3073.58,7.70
3104.32,7.67
3135.36,7.60
3166.72,7.60
3198.38,7.60
3230.37,7.60
3262.67,7.60
3295.30,7.55
3328.25,7.50
3361.53,7.50
3395.15,7.44
3429.10,7.40
3463.39,7.40
3498.03,7.34
3533.01,7.30
3568.34,7.30
3604.02,7.23
3640.06,7.20
3676.46,7.19
3713.22,7.12
3750.36,7.07
3787.86,7.02
3825.74,6.98
3864.00,6.93
3902.64,6.88
3941.66,6.81
3981.08,6.74
4020.89,6.70
4061.10,6.70
4101.71,6.64
4142.73,6.57
4184.15,6.50
4226.00,6.43
4268.26,6.36
4310.94,6.29
4354.05,6.22
4397.59,6.20
4441.56,6.18
4485.98,6.12
4530.84,6.05
4576.15,5.98
4621.91,5.91
4668.13,5.84
4714.81,5.77
4761.96,5.70
4809.58,5.63
4857.67,5.56
4906.25,5.50
4955.31,5.43
5004.87,5.36
5054.91,5.29
5105.46,5.22
5156.52,5.15
5208.08,5.08
5260.16,5.01
5312.77,4.94
5365.89,4.88
5419.55,4.81
5473.75,4.74
5528.49,4.67
5583.77,4.60
5639.61,4.53
5696.00,4.46
5752.96,4.39
5810.49,4.32
5868.60,4.25
5927.28,4.19
5986.56,4.12
6046.42,4.02
6106.89,3.92
6167.96,3.82
6229.64,3.74
6291.93,3.67
6354.85,3.60
6418.40,3.53
6482.58,3.47
6547.41,3.40
6612.88,3.33
6679.01,3.26
6745.80,3.19
6813.26,3.12
6881.39,3.05
6950.21,2.98
7019.71,2.91
7089.91,2.85
7160.81,2.78
7232.41,2.71
7304.74,2.58
7377.79,2.47
7451.56,2.40
7526.08,2.33
7601.34,2.26
7677.35,2.19
7754.13,2.13
7831.67,2.06
7909.98,1.99
7989.08,1.92
8068.98,1.85
8149.67,1.78
8231.16,1.71
8313.47,1.64
8396.61,1.55
8480.57,1.41
8565.38,1.34
8651.03,1.27
8737.54,1.20
8824.92,1.13
8913.17,1.06
9002.30,0.99
9092.32,0.92
9183.25,0.81
9275.08,0.69
9367.83,0.62
9461.51,0.55
9556.12,0.48
9651.68,0.41
9748.20,0.28
9845.68,0.17
9944.14,0.10
10043.58,0.00
10144.02,-0.10
10245.46,-0.20
10347.91,-0.27
10451.39,-0.34
10555.91,-0.42
10661.46,-0.56
10768.08,-0.65
10875.76,-0.73
10984.52,-0.87
11094.36,-0.95
11205.31,-1.02
11317.36,-1.09
11430.53,-1.22
11544.84,-1.33
11660.29,-1.40
11776.89,-1.54
11894.66,-1.64
12013.60,-1.71
12133.74,-1.85
12255.08,-1.97
12377.63,-2.07
12501.41,-2.17
12626.42,-2.25
12752.68,-2.34
12880.21,-2.48
13009.01,-2.56
13139.10,-2.65
13270.49,-2.79
13403.20,-2.86
13537.23,-2.97
13672.60,-3.10
13809.33,-3.17
13947.42,-3.28
14086.90,-3.41
