frequency,raw
886.08,-0.00
894.94,0.00
903.89,0.00
912.93,0.00
922.06,0.01
931.28,0.01
940.59,0.01
950.00,0.02
959.50,0.03
969.09,0.04
978.78,0.06
988.57,0.08
998.46,0.09
1008.44,0.11
1018.53,0.13
1028.71,0.15
1039.00,0.17
1049.39,0.19
1059.88,0.21
1070.48,0.23
1081.19,0.26
1092.00,0.29
1102.92,0.32
1113.95,0.36
1125.09,0.39
1136.34,0.43
1147.70,0.46
1159.18,0.50
1170.77,0.54
1182.48,0.58
1194.30,0.63
1206.25,0.68
1218.31,0.74
1230.49,0.79
1242.80,0.85
1255.22,0.90
1267.78,0.96
1280.45,1.02
1293.26,1.08
1306.19,1.15
1319.25,1.21
1332.45,1.28
1345.77,1.35
1359.23,1.41
1372.82,1.49
1386.55,1.56
1400.41,1.64
1414.42,1.72
1428.56,1.80
1442.85,1.89
1457.28,1.97
1471.85,2.05
1486.57,2.13
1501.43,2.22
1516.45,2.30
1531.61,2.39
1546.93,2.48
1562.40,2.57
1578.02,2.67
1593.80,2.77
1609.74,2.87
1625.84,2.97
1642.10,3.07
1658.52,3.17
1675.10,3.27
1691.85,3.38
1708.77,3.49
1725.86,3.60
1743.12,3.71
1760.55,3.82
1778.15,3.94
1795.94,4.06
1813.90,4.18
1832.03,4.31
1850.36,4.43
1868.86,4.56
1887.55,4.68
1906.42,4.81
1925.49,4.94
1944.74,5.08
1964.19,5.22
1983.83,5.36
2003.67,5.49
2023.71,5.60
2043.94,5.71
2064.38,5.82
2085.03,5.94
2105.88,6.05
2126.94,6.16
2148.20,6.27
2169.69,6.37
2191.38,6.48
2213.30,6.57
2235.43,6.67
2257.78,6.77
2280.36,6.87
2303.17,6.98
2326.20,7.08
2349.46,7.18
2372.95,7.28
2396.68,7.37
2420.65,7.46
2444.86,7.55
2469.31,7.63
2494.00,7.69
2518.94,7.75
2544.13,7.80
2569.57,7.85
2595.27,7.90
2621.22,7.97
2647.43,8.03
2673.90,8.10
2700.64,8.15
2727.65,8.19
2754.93,8.23
2782.48,8.27
2810.30,8.31
2838.40,8.35
2866.79,8.39
2895.46,8.43
2924.41,8.47
2953.65,8.52
2983.19,8.56
3013.02,8.60
3043.15,8.64
3073.58,8.68
3104.32,8.72
3135.36,8.76
3166.72,8.78
3198.38,8.81
3230.37,8.83
3262.67,8.85
3295.30,8.86
3328.25,8.88
3361.53,8.89
3395.15,8.89
3429.10,8.90
3463.39,8.90
3498.03,8.90
3533.01,8.90
3568.34,8.90
3604.02,8.88
3640.06,8.87
3676.46,8.85
3713.22,8.82
3750.36,8.79
3787.86,8.75
3825.74,8.71
3864.00,8.67
3902.64,8.62
3941.66,8.57
3981.08,8.52
4020.89,8.46
4061.10,8.40
4101.71,8.33
4142.73,8.26
4184.15,8.19
4226.00,8.12
4268.26,8.05
4310.94,7.97
4354.05,7.89
4397.59,7.81
4441.56,7.72
4485.98,7.63
4530.84,7.54
4576.15,7.45
4621.91,7.35
4668.13,7.25
4714.81,7.16
4761.96,7.06
4809.58,6.97
4857.67,6.88
4906.25,6.80
4955.31,6.71
5004.87,6.61
5054.91,6.52
5105.46,6.43
5156.52,6.34
5208.08,6.26
5260.16,6.18
5312.77,6.10
5365.89,6.02
5419.55,5.95
5473.75,5.89
5528.49,5.83
5583.77,5.77
5639.61,5.70
5696.00,5.64
5752.96,5.58
5810.49,5.52
5868.60,5.46
5927.28,5.40
5986.56,5.34
6046.42,5.27
6106.89,5.20
6167.96,5.11
6229.64,5.03
6291.93,4.95
6354.85,4.88
6418.40,4.81
6482.58,4.74
6547.41,4.66
6612.88,4.58
6679.01,4.51
6745.80,4.43
6813.26,4.34
6881.39,4.25
6950.21,4.15
7019.71,4.04
7089.91,3.94
7160.81,3.84
7232.41,3.74
7304.74,3.64
7377.79,3.54
7451.56,3.43
7526.08,3.33
7601.34,3.22
7677.35,3.11
7754.13,3.01
7831.67,2.91
7909.98,2.80
7989.08,2.70
8068.98,2.59
8149.67,2.47
8231.16,2.35
8313.47,2.23
8396.61,2.11
8480.57,1.99
8565.38,1.86
8651.03,1.74
8737.54,1.62
8824.92,1.49
8913.17,1.35
9002.30,1.21
9092.32,1.07
9183.25,0.95
9275.08,0.82
9367.83,0.69
9461.51,0.54
9556.12,0.38
9651.68,0.21
9748.20,0.04
9845.68,-0.13
9944.14,-0.30
10043.58,-0.47
10144.02,-0.63
10245.46,-0.79
10347.91,-0.97
10451.39,-1.13
10555.91,-1.28
10661.46,-1.44
10768.08,-1.65
10875.76,-1.88
10984.52,-2.13
11094.36,-2.35
11205.31,-2.56
11317.36,-2.77
11430.53,-3.01
11544.84,-3.26
11660.29,-3.51
11776.89,-3.74
11894.66,-3.96
12013.60,-4.18
12133.74,-4.40
12255.08,-4.61
12377.63,-4.83
12501.41,-5.06
12626.42,-5.30
12752.68,-5.54
12880.21,-5.78
13009.01,-5.97
13139.10,-6.14
13270.49,-6.28
13403.20,-6.41
13537.23,-6.53
13672.60,-6.65
13809.33,-6.78
13947.42,-6.89
14086.90,-7.00
14227.77,-7.11
14370.04,-7.22
14513.74,-7.32
14658.88,-7.43
14805.47,-7.51
14953.52,-7.59
15103.06,-7.67
15254.09,-7.74
15406.63,-7.82
15560.70,-7.91
15716.30,-8.02
15873.47,-8.14
16032.20,-8.26
16192.52,-8.38
16354.45,-8.53
16517.99,-8.70
16683.17,-8.91
16850.01,-9.12
17018.51,-9.34
17188.69,-9.58
17360.58,-9.88
17534.18,-10.26
17709.53,-10.76
17886.62,-11.21
18065.49,-11.69
18246.14,-12.20
18428.60,-12.78
18612.89,-13.48
18799.02,-14.26
18987.01,-15.05
19176.88,-15.82
19368.65,-16.68
19562.33,-17.92
19757.96,-19.09
19955.54,-20.23
